rank,name,country,director,score
1,肖申克的救赎,美国,"
                            弗兰克·德拉邦特 Frank Darabont",9.7
2,霸王别姬,法国,"
                            陈凯歌 Kaige Chen",9.6
3,这个杀手不太冷,美国,"
                            吕克·贝松 Luc Besson",9.4
4,阿甘正传,意大利,"
                            罗伯特·泽米吉斯 Robert Zemeckis",9.4
5,美丽人生,日本,"
                            罗伯托·贝尼尼 Roberto Benigni",9.5
6,千与千寻,美国,"
                            宫崎骏 Hayao Miyazaki",9.3
7,泰坦尼克号,美国,"
                            詹姆斯·卡梅隆 James Cameron",9.4
8,辛德勒的名单,美国,"
                            史蒂文·斯皮尔伯格 Steven Spielberg",9.5
9,盗梦空间,印度,"
                            克里斯托弗·诺兰 Christopher Nolan",9.3
10,忠犬八公的故事,意大利,"
                            莱塞·霍尔斯道姆 Lasse Hallström",9.3
11,机器人总动员,美国,"
                            安德鲁·斯坦顿 Andrew Stanton",9.3
12,三傻大闹宝莱坞,日本,"
                            拉库马·希拉尼 Rajkumar Hirani",9.2
13,放牛班的春天,韩国,"
                            克里斯托夫·巴拉蒂 Christophe Barratier",9.3
14,海上钢琴师,美国,"
                            朱塞佩·托纳多雷 Giuseppe Tornatore",9.2
15,楚门的世界,香港,"
                            彼得·威尔 Peter Weir",9.2
16,大话西游之大圣娶亲,美国,"
                            刘镇伟 Jeffrey Lau",9.2
17,星际穿越,美国,"
                            克里斯托弗·诺兰 Christopher Nolan",9.3
18,龙猫,美国,"
                            宫崎骏 Hayao Miyazaki",9.2
19,熔炉,法国,"
                            黄东赫 Dong-hyuk Hwang",9.3
26,乱世佳人,美国,"
                            克里斯托弗·诺兰 Christopher Nolan",9.1
27,活着,美国,"
                            维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor",9.3
28,控方证人,印度,"
                            张艺谋 Yimou Zhang",9.2
29,少年派的奇幻漂流,日本,"
                            比利·怀尔德 Billy Wilder",9.6
30,天空之城,中国大陆,"
                            李安 Ang Lee",9.0
31,鬼子来了,美国,"
                            彼得·杰克逊 Peter Jackson",9.2
32,天堂电影院,美国,"
                            涅提·蒂瓦里 Nitesh Tiwari",9.0
33,十二怒汉,日本,"
                            宫崎骏 Hayao Miyazaki",9.1
34,飞屋环游记,美国,"
                            姜文 Wen Jiang",9.2
35,大话西游之月光宝盒,美国,"
                            朱塞佩·托纳多雷 Giuseppe Tornatore",9.2
36,哈尔的移动城堡,美国,"
                            Sidney Lumet",9.4
37,搏击俱乐部,韩国,"
                            彼特·道格特 Pete Docter / 鲍勃·彼德森 Bob Peterson",9.0
38,罗马假日,韩国,"
                            刘镇伟 Jeffrey Lau",9.0
